titulo,genero,calificacion,Clasica,Apreciacion
The Shawshank Redemption,Drama,9.3,Si,Excelente
The Godfather,Crimen,9.2,Si,Excelente
The Dark Knight,Accion,9.0,No,Excelente
The Godfather Part II,Crimen,9.0,Si,Excelente
12 Angry Men,Drama,9.0,Si,Excelente
The Lord of the Rings The Return of the King,Aventura,9.0,No,Excelente
Schindlers List,Drama,9.0,Si,Excelente
Pulp Fiction,Crimen,8.9,Si,Excelente
Pixels,Comedia,5.6,No,Regular
Norbit,Comedia,4.2,No,Mala
The Emoji Movie,Animacion,3.4,No,Mala
The Lord of the Rings The Fellowship of the Ring,Aventura,8.9,No,Excelente
The Good the Bad and the Ugly,Western,8.8,Si,Excelente
Forrest Gump,Drama,8.8,Si,Excelente
Fight Club,Drama,8.8,No,Excelente
The Lord of the Rings The Two Towers,Aventura,8.8,No,Excelente
Inception,Ciencia Ficcion,8.8,No,Excelente
Star Wars Episode V The Empire Strikes Back,Ciencia Ficcion,8.7,Si,Excelente
The Matrix,Ciencia Ficcion,8.7,No,Excelente
Goodfellas,Crimen,8.7,Si,Excelente
One Flew Over the Cuckoos Nest,Drama,8.7,Si,Excelente
Se7en,Thriller,8.6,No,Excelente
Interstellar,Ciencia Ficcion,8.7,No,Excelente
The Silence of the Lambs,Thriller,8.6,Si,Excelente
Saving Private Ryan,Guerra,8.6,No,Excelente
City of God,Crimen,8.6,No,Excelente
The Green Mile,Drama,8.6,No,Excelente
Life Is Beautiful,Drama,8.6,No,Excelente
Terminator 2 Judgment Day,Accion,8.6,Si,Excelente
Back to the Future,Ciencia Ficcion,8.5,Si,Buena
Spirited Away,Animacion,8.6,No,Excelente
The Pianist,Drama,8.5,No,Buena
Parasite,Thriller,8.5,No,Buena
Gladiator,Accion,8.5,No,Buena
Whiplash,Drama,8.5,No,Buena
The Departed,Crimen,8.5,No,Buena
The Prestige,Drama,8.5,No,Buena
The Lion King,Animacion,8.5,Si,Buena
National Treasure,Aventura,6.9,No,Regular
The Da Vinci Code,Misterio,6.6,No,Regular
Angels and Demons,Misterio,6.7,No,Regular
World War Z,Terror,7.0,No,Buena
I Am Legend,Ciencia Ficcion,7.2,No,Buena
War of the Worlds,Ciencia Ficcion,6.5,No,Regular
Oblivion,Ciencia Ficcion,7.0,No,Buena
Passengers,Ciencia Ficcion,7.0,No,Buena
Lucy,Ciencia Ficcion,6.4,No,Regular
Memento,Thriller,8.4,No,Buena
Apocalypse Now,Guerra,8.4,Si,Buena
Alien,Ciencia Ficcion,8.4,Si,Buena
The Shining,Terror,8.4,Si,Buena
Django Unchained,Western,8.4,No,Buena
WALL-E,Animacion,8.4,No,Buena
Avengers Infinity War,Accion,8.4,No,Buena
Avengers Endgame,Accion,8.4,No,Buena
Toy Story,Animacion,8.3,No,Buena
Coco,Animacion,8.4,No,Buena
Jurassic Park,Aventura,8.2,Si,Buena
The Truman Show,Drama,8.2,No,Buena
Mad Max Fury Road,Accion,8.1,No,Buena
Blade Runner 2049,Ciencia Ficcion,8.0,No,Buena
The Social Network,Drama,7.8,No,Buena
Batman Forever,Accion,5.4,No,Regular
Batman and Robin,Accion,3.8,No,Mala
The Happening,Thriller,5.0,No,Regular
